🇨🇳｜央视,#genre#
CCTV-1HD,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1HD,http://39.134.65.179/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1HD,http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV-1HD,http://39.134.65.183/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://117.148.179.160/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1HD,http://39.134.65.181/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV-1HD,http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1HD,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV-1HD,http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-2HD,http://117.148.179.160/PLTV/88888888/224/3221232362/index.m3u8
CCTV-2HD,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2HD,http://111.20.41.250/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2HD,http://111.20.41.252/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-2HD,http://39.135.55.7:6610/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-2HD,http://117.148.179.160/PLTV/88888888/224/3221231678/index.m3u8
CCTV-3HD,http://140.207.241.3:8080/live/program/live/cctv3hd/4000000/d1.m3u8
CCTV-3HD,http://39.134.65.179/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3HD,http://39.134.65.181/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3HD,http://39.134.65.173/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3HD,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-3HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3HD,http://111.40.196.9/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3HD,http://39.135.32.28:6610/PLTV/77777777/224/3221225677/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-3HD,http://117.148.179.160/PLTV/88888888/224/3221231682/index.m3u8
CCTV-3HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
